post_id,post_caption,content_type,total_likes,num_shares,comment_count,avg_sentiment_score,sentiment_variance,negative_comment_ratio,main_topic,most_positive_comment,original_positive_context,most_negative_comment,original_negative_context,weighted_engagement_rate
1178900623794185,"ನನ್ನ ದಿನಚರಿ
#NammaPrabha #MPOfDavangere",Unknown,691,19,1,1.0,,0.0,Praise,Congratulations ri,Congratulations ri,No distinct negative comment,N/A,0.008295454545454545
1194089478941966,"Be the change that you wish to see in the world."" – Mahatma Gandhi

Mahatma Gandhi, the Father of our Nation, India, remains a global inspiration. His life was his message to the world.

Today, I visited Raj Ghat, a memorial complex in Delhi, India. The first memorial was dedicated to Mahatma Gandhi. His ideals continue to guide movements for peace, justice, and human rights across the world.
#Mahathmagandhiji #india",Unknown,2949,95,18,0.8,0.2,0.0,Praise,"Isn&#39;t this the characteristic of a cultured woman? Dear MP. Good luck, Madam.",ಸುಸಂಸ್ಕೃತ ಮಹಿಳೆಯ ಗುಣಲಕ್ಷಣಗಳು ಅಂದರೆ ಇದುವೇ ಅಲ್ಲವೇ. ಮಾದರೀ ಸಂಸದರು. ಶುಭವಾಗಲೀ ಮೇಡಂ.,Jai Veer Shaiva Lingayat Samaj,Jai veer shaiva lingayat samajha,0.035875
1195167452167502,"ತೆರಿಗೆ ಕೊಟ್ಟರೂ ಸಿಗದ ಅನುದಾನ....
#NammaPrabha #MPOfDavangere #Budget2025",Unknown,1815,54,5,0.75,0.25000000000000006,0.0,Praise,Super Speech Like,Super Speech Akka,"Sister, ask your side, why isn&#39;t the state coming to your district?","ಅಕ್ಕ ನಿಮ್ಮ ಬಾಗಕ್ಕೆ ಕೇಳಿ, ರಾಜ್ಯ ನಿಮ್ಮ ಜಿಲ್ಲೆಯ ಬಾಗಗಳಿಗೆ ಯಾಕೆ ಬರುತ್ತಾ ಇಲ್ಲಾ.",0.02190909090909091
1195724588778455,"ಅನುದಾನ‌ ನೀಡುವಲ್ಲಿ ಕೇಂದ್ರದ ತಾರತಮ್ಯ...
#NammaPrabha #MPOfDavangere",Unknown,4796,130,8,-0.5,0.5,0.5,Criticism,Karnataka is now Govinda Govinda,ಕರ್ಣಾಟಕ  ಈಗ ಗೋವಿಂದ  ಗೋವಿಂದಾ,Tell me why you&#39;re so shy... Don&#39;t make up stories..,"ಪುಕ್ಕಟೆ ನಿಲ್ಸೋಕೆ ಹೇಳಿ...
ಕಥೆ ಹೊಡಿಬೇಡಿ..",0.057545454545454545
1197614458589468,"ಆಯುಷ್ಮಾನ್ ಭಾರತ್ ಯೋಜನೆ ಅಡಿಯಲ್ಲಿ ಬಿಪಿಎಲ್ ಕಾರ್ಡ್ ಹೊಂದಿರುವವರ ಜೊತೆಗೆ ಆರ್ಥಿಕವಾಗಿ ಹಿಂದುಳಿದ ಬಡವರನ್ನು ಸೇರಿಸಬೇಕು ಹಾಗೂ
ವೈದ್ಯರು, ಸಂಪನ್ಮೂಲಗಳು ಮತ್ತು ಮೂಲಸೌಕರ್ಯಗಳ ಕೊರತೆಯನ್ನು ಪರಿಹರಿಸಲು ತೆಗೆದುಕೊಂಡ ಕ್ರಮಗಳು, ಪ್ರಸ್ತುತ ಯೋಜನೆಯಡಿಯ ಪಟ್ಟಿಯಲ್ಲಿರುವ ಆಸ್ಪತ್ರೆಗಳ ಸಂಖ್ಯೆ, ರಾಜ್ಯವಾರು ಅವುಗಳ ವ್ಯಾಪ್ತಿ ಮತ್ತು ಅನುಷ್ಠಾನದ ಪ್ರಗತಿಯ ವಿವರಗಳ ಕುರಿತು‌ ಸಂಸತ್ತಿನಲ್ಲಿ ನಡೆದ ಅಧಿವೇಶನದಲ್ಲಿ ಪ್ರಶ್ನಿಸಲಾಯಿತು
#Budgetsessions2025 #Loksabha #NammaPrabha #MPOfDavangere",Unknown,2497,160,5,0.3333333333333333,0.33333333333333337,0.0,Praise,"Congratulations, Madam,","ಅಭಿನಂದನೆಗಳು ಮೇಡಂ,",Preparing well before going to Parliament is a duty to curb corruption. Dr. Prabha Mallikarjuna is a role model. Let everyone follow suit.,ಸಂಸತ್ತಿಗೆ ಹೋಗುವ ಮುನ್ನ ಪೂರ್ವ ಸಿದ್ಧತೆ ಮಾಡಿಕೊಂಡು ಹೋಗುವುದು ಭ್ರಷ್ಟಾಚಾರ ನಿಗ್ರಹದ ಒಂದು ಕರ್ತವ್ಯ. ಡಾ ಪ್ರಭ ಮಲ್ಲಿಕಾರ್ಜುನ ಮಾದರಿ ಯಾಗಿದ್ದಾರೆ. ಎಲ್ಲರೂ ಪಾಲನೆ ಮಾಡಲಿ.,0.032068181818181815
1199867345030846,"ಭಾನುವಾರದ ಕಾರ್ಯ ಚಟುವಟಿಕೆಗಳು
#NammaPrabha #MPOfDavangere",Unknown,1631,24,2,1.0,,0.0,Praise,Super,Super,No distinct negative comment,N/A,0.019102272727272728
1202462548104659,"ಆರೋಗ್ಯಕ್ಷೇತ್ರದಲ್ಲಿ ಸಮಗ್ರ ಸುಧಾರಣೆ ‌ನನ್ನ ಧ್ಯೇಯ..
#NammaPrabha #MPOfDavangere",Unknown,317,6,2,0.0,,0.0,Criticism,gather ideas,pungadu sakkatge ide,No distinct negative comment,N/A,0.0037613636363636365
1203287948022119,"ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಗುಣಮಟ್ಟದ ಶಿಕ್ಷಣ, ಉದ್ಯೋಗ ಪಡೆಯಲು ಅಗತ್ಯವಿರುವ ತಂತ್ರಜ್ಞಾನ ಮತ್ತು ಕೌಶಲ್ಯ ತರಬೇತಿ ಜೊತೆಗೆ ಸ್ಪರ್ಧಾತ್ಮಕ ಪರೀಕ್ಷೆಗಳಿಗಾಗಿ ಪ್ರೋತ್ಸಾಹ ನೀಡುವುದು ನಮ್ಮ ಉದ್ದೇಶ
#QualityEducation #SkillDevelopment",Unknown,2039,62,19,0.3076923076923077,0.3974358974358974,0.07692307692307693,Praise,"Very nice of you, Madam, for your pro-people work.",ತುಂಬಾ ನೈಸ್ ರಿ ಮೇಡಂ ನಿಮ್ಮ ಜನಪರ ಕೆಲಸಗಳಿಗೆ,We can understand ur problem working under husbsnd like slave father in law,We can understand ur problem working under husbsnd  like slave   father in   law,0.024795454545454544
1212649423752638,"ಮಹಾಶಿವರಾತ್ರಿ ಹಬ್ಬದ ಮಹೋತ್ಸವದಲ್ಲಿನ ಕ್ಷಣಗಳು..
#NammaPrabha #MPOfDavangere",Unknown,2744,23,3,-0.5,0.5,0.5,Criticism,Madom nimdu and nim family over acting stop madi MLA election time alli nivu SS malikarjun avranna maneli interview madidi vedio upload madidre adralli Airport IT BT company and new hospital and new company tharthare anatha heli 3 year aythu estu bandide and nivu MP agaiku same speach 1 year aythu estu hospital company and IT BT ge mathadidira ha heli only over acting,Madom nimdu and nim family over acting stop madi MLA election time alli nivu SS malikarjun avranna maneli interview madidi vedio upload madidre adralli Airport IT BT company and new hospital and new company tharthare anatha heli 3 year aythu estu bandide and nivu MP agaiku same speach 1 year aythu estu hospital company and IT BT ge mathadidira ha heli only over acting,No respect.,ಮಾನ ಮರ್ಯಾದೆ ಇಲ್ಲ,0.031738636363636365
1213843666966547,"ವಿದ್ಯಾರ್ಥಿಗಳು ಉತ್ತಮ ವಿದ್ಯಾಭ್ಯಾಸ ಮಾಡುವ ಮೂಲಕ ನೀವು ಓದಿದ ಶಾಲೆಗೆ ಕೀರ್ತಿ ತರಬೇಕು ಎಂಬುದು ನನ್ನ ಅಭಿಲಾಷೆ...
#StudyMotivation #EducationMatters",Unknown,344,7,5,0.5,0.5,0.0,Praise,Good sagestion madam is very intelligent and very nice,Good sagestion madam is very intelligent and very nice,Ammaji Satish,Amamji satish,0.004125
