post_id,post_caption,content_type,total_likes,num_shares,comment_likes,original_comment_for_context,original_language,text_for_analysis
1282231150127798,"Visited Theppakadu Elephant Camp in the heart of Mudumalai Tiger Reserve. Had the incredible honor of meeting Raghu and Ammu — the gentle giants from The Elephant Whisperers, the Oscar-winning documentary that touched hearts around the world.

#TheppakaduElephantCamp #Tamilnadu",Unknown,383,4,0,🙏,en,
1282231150127798,"Visited Theppakadu Elephant Camp in the heart of Mudumalai Tiger Reserve. Had the incredible honor of meeting Raghu and Ammu — the gentle giants from The Elephant Whisperers, the Oscar-winning documentary that touched hearts around the world.

#TheppakaduElephantCamp #Tamilnadu",Unknown,383,4,0,Ganesh optical order kudi,hi-Latn,Ganesh optical order kudi
1282450916772488,"ಪ್ರಧಾನ ಮಂತ್ರಿ ಫಸಲ್ ಬಿಮಾ ಯೋಜನೆ ಒಂದು ಪ್ರಮುಖ ಬೆಳೆ ವಿಮಾ ಯೋಜನೆಯಾಗಿದ್ದು, ಇದು ರಾಜ್ಯ ಸರ್ಕಾರಗಳ ಸಹಯೋಗದೊಂದಿಗೆ ಭಾರತ ಸರ್ಕಾರವು ಜಂಟಿಯಾಗಿ ಜಾರಿಗೆ ತಂದಿದ್ದು, ನೈಸರ್ಗಿಕ ವಿಕೋಪಗಳು, ಕೀಟಗಳು ಮತ್ತು ರೋಗಗಳಿಂದಾಗಿ ಬೆಳೆ ವೈಫಲ್ಯದ ಸಂದರ್ಭದಲ್ಲಿ ರೈತರಿಗೆ ಆರ್ಥಿಕ ನೆರವು ನೀಡುವ ಮೂಲಕ ಅವರನ್ನು ಬೆಂಬಲಿಸುವ ಗುರಿಯನ್ನು ಹೊಂದಿದೆ. ಈ ಯೋಜನೆಯು ಸುಸ್ಥಿರ ಕೃಷಿ ಪದ್ಧತಿಗಳನ್ನು ಉತ್ತೇಜಿಸುತ್ತದೆ. ರೈತರ ಆದಾಯವನ್ನು ಸ್ಥಿರಗೊಳಿಸುತ್ತದೆ ಮತ್ತು ಕೃಷಿಯಲ್ಲಿ ಅವರ ನಿರಂತರ ತೊಡಗಿಸಿಕೊಳ್ಳುವಿಕೆಯನ್ನು ಖಚಿತಪಡಿಸುತ್ತದೆ.ರೈತರು ಈ ಯೋಜನೆ ಬಗ್ಗೆ ತಿಳಿದುಕೊಂಡು ಯೊಜನೆಯ ಪ್ರಯೋಜನ ಪಡೆದುಕೊಳ್ಳಲು ನನ್ನ ಮನವಿ.......
#PMFBY #CropInsurance",Unknown,26,1,0,Super madam,en,Super madam
1282539823430264,"ದಾವಣಗೆರೆ ನಗರದ ದೇವತೆ ಶ್ರೀ ದುರ್ಗಾಂಭಿಕಾ ದೇವಸ್ಥಾನಕ್ಕೆ ಶುಕ್ರವಾರದ ಪ್ರಯುಕ್ತ ದಂಪತಿ ಸಮೇತ ತೆರಳಿ, ನಾಡಿನ ಒಳಿತಿಗಾಗಿ ವಿಶೇಷ ಪೂಜೆಯನ್ನು ಸಲ್ಲಿಸಲಾಯಿತು. ಮಹಾಮಾರಿ ಕೊರೊನಾ ದಿಂದ ನಾಡನ್ನು ಹಾಗೂ ನಾಡಿನ ಜನತೆಯನ್ನು ಕಾಪಾಡು ತಾಯಿ ಎಂದು ಪ್ರಾರ್ಥಿಸಲಾಯಿತು.
S S Mallikarjun 

#NammaPrabha #MPOfDavangere #ministryofminesandgeology #ssmallikarjun",Unknown,180,0,0,🙏🙏🙏,en,
1282539823430264,"ದಾವಣಗೆರೆ ನಗರದ ದೇವತೆ ಶ್ರೀ ದುರ್ಗಾಂಭಿಕಾ ದೇವಸ್ಥಾನಕ್ಕೆ ಶುಕ್ರವಾರದ ಪ್ರಯುಕ್ತ ದಂಪತಿ ಸಮೇತ ತೆರಳಿ, ನಾಡಿನ ಒಳಿತಿಗಾಗಿ ವಿಶೇಷ ಪೂಜೆಯನ್ನು ಸಲ್ಲಿಸಲಾಯಿತು. ಮಹಾಮಾರಿ ಕೊರೊನಾ ದಿಂದ ನಾಡನ್ನು ಹಾಗೂ ನಾಡಿನ ಜನತೆಯನ್ನು ಕಾಪಾಡು ತಾಯಿ ಎಂದು ಪ್ರಾರ್ಥಿಸಲಾಯಿತು.
S S Mallikarjun 

#NammaPrabha #MPOfDavangere #ministryofminesandgeology #ssmallikarjun",Unknown,180,0,0,🌺🌺🙏🏻🌺🌺 ಓಂ ಶ್ರೀ ದುಗ್ಗಮ್ಮ ದೇವಿಯ ನಮಃ,kn,Om Shri Duggamma Devi Namah
1282539823430264,"ದಾವಣಗೆರೆ ನಗರದ ದೇವತೆ ಶ್ರೀ ದುರ್ಗಾಂಭಿಕಾ ದೇವಸ್ಥಾನಕ್ಕೆ ಶುಕ್ರವಾರದ ಪ್ರಯುಕ್ತ ದಂಪತಿ ಸಮೇತ ತೆರಳಿ, ನಾಡಿನ ಒಳಿತಿಗಾಗಿ ವಿಶೇಷ ಪೂಜೆಯನ್ನು ಸಲ್ಲಿಸಲಾಯಿತು. ಮಹಾಮಾರಿ ಕೊರೊನಾ ದಿಂದ ನಾಡನ್ನು ಹಾಗೂ ನಾಡಿನ ಜನತೆಯನ್ನು ಕಾಪಾಡು ತಾಯಿ ಎಂದು ಪ್ರಾರ್ಥಿಸಲಾಯಿತು.
S S Mallikarjun 

#NammaPrabha #MPOfDavangere #ministryofminesandgeology #ssmallikarjun",Unknown,180,0,0,जय हो,hi,Be victorious
1282476670103246,"ಎಸ್ ಎಸ್ ಕೇರ್ ಟ್ರಸ್ಟ್ ನಿಂದ ಸಾಕಷ್ಟು ಸಮಾಜಮುಖಿ ಕಾರ್ಯಕ್ರಮಗಳನ್ನು ಆಯೋಜಿಸಲಾಗಿದೆ.ಕ್ಲಿಷ್ಟಕರವಾದ ಹಾಗೂ ಸಮಸ್ಯೆಯಿರುವ ಮಕ್ಕಳಿಗೆ ಅದರಲ್ಲೂ ಆರ್ಥಿಕವಾಗಿ ಹಿಂದುಳಿದ ಮಕ್ಕಳ‌ ಶಸ್ತ್ರಚಿಕಿತ್ಸೆಯನ್ನು ಉಚಿತವಾಗಿ ನೆರವೇರಿಸಲಾಗಿದೆ.
#NammaPrabha #MPOfDavangere",Unknown,38,1,0,ಒಳ್ಳೇಯ ಮಾನವೀಯ ಪ್ರಯತ್ನ. ತಮಗೆ ಧನ್ಯವಾದಗಳು. 🙏,kn,A good humanitarian effort. Thank you.
1282963720054541,"ದಾವಣಗೆರೆಯ ಗೃಹಕಚೇರಿಗೆ ಭೇಟಿ ನೀಡಿದ ಎಲ್ಲಾ ಸಾರ್ವಜನಿಕರ ಅಹವಾಲುಗಳನ್ನು‌ ಆಲಿಸಲಾಯಿತು ಜೊತೆಗೆ ‌ಮನವಿಗಳನ್ನು ಸ್ವೀಕರಿಸಲಾಯಿತು.
#NammaPrabha #MPOfDavangere",Unknown,598,3,1,👌👌👌🌹🌹,en,
1282963720054541,"ದಾವಣಗೆರೆಯ ಗೃಹಕಚೇರಿಗೆ ಭೇಟಿ ನೀಡಿದ ಎಲ್ಲಾ ಸಾರ್ವಜನಿಕರ ಅಹವಾಲುಗಳನ್ನು‌ ಆಲಿಸಲಾಯಿತು ಜೊತೆಗೆ ‌ಮನವಿಗಳನ್ನು ಸ್ವೀಕರಿಸಲಾಯಿತು.
#NammaPrabha #MPOfDavangere",Unknown,598,3,1,Next.c.m.karnataka,en,Next.c.m.karnataka
1282963720054541,"ದಾವಣಗೆರೆಯ ಗೃಹಕಚೇರಿಗೆ ಭೇಟಿ ನೀಡಿದ ಎಲ್ಲಾ ಸಾರ್ವಜನಿಕರ ಅಹವಾಲುಗಳನ್ನು‌ ಆಲಿಸಲಾಯಿತು ಜೊತೆಗೆ ‌ಮನವಿಗಳನ್ನು ಸ್ವೀಕರಿಸಲಾಯಿತು.
#NammaPrabha #MPOfDavangere",Unknown,598,3,1,Office ❣️home ✓,en,Office home
