post_id,post_caption,total_likes,num_shares,comment_likes,original_comment_for_context,original_language,text_for_analysis,sentiment_score,topic
1295153758835537,"ದಾವಣಗೆರೆಯ ಬಾಪೂಜಿ ಬ್ಯಾಂಕ್ ಸಮುದಾಯಭವನದಲ್ಲಿ ಅಪ್ಪಾಜಿಯವರ ಜನ್ಮದಿನದ ಪ್ರಯುಕ್ತ ಎಸ್ ಎಸ್ ಎಂ ಅಭಿಮಾನಿಗಳ ಬಳಗದಿಂದ ಆಯೋಜಿಸಿದ್ದ ಸರ್ವಧರ್ಮ ಸಾಮೂಹಿಕ ವಿವಾಹ ಮಹೋತ್ಸವದಲ್ಲಿ ಭಾಗವಹಿಸಿ ನವಜೋಡಿಗೆ ಶುಭಹಾರೈಸಲಾಯಿತು. ಈ ಸಂದರ್ಭದಲ್ಲಿ ಸನ್ಮಾನ್ಯ ಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀಯುತ ಸಿದ್ದರಾಮಯ್ಯ ಅವರು‌ ಅಪ್ಪಾಜಿಯವರನ್ನು ಪುಷ್ಪವೃಷ್ಠಿ ಮೂಲಕ ಶುಭಕೋರಿದ್ದು ವಿಶೇಷವಾಗಿತ್ತು.ಉಪಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀ ಡಿ.ಕೆ ಶಿವಕುಮಾರ್, ಗೃಹಸಚಿವರಾದ ಶ್ರೀ ಜಿ.ಪರಮೇಶ್ವರ್,ಮಾಜಿ ಸಚಿವರಾದ ಹೆಚ್.ಆಂಜನೇಯ, ಶಾಸಕರುಗಳಾದ ಕೆ
ಎಸ್ ಬಸವಂತಪ್ಪ,ಬಿ.ದೇವೇಂದ್ರಪ್ಪ ಸೇರಿದಂತೆ ಪಕ್ಷದ ಮುಖಂಡರುಗಳು,ಕಾರ್ಯಕರ್ತರು ಹಾಗೂ ಅಭಿಮಾನಿಗಳು ಉಪಸ್ಥಿತರಿದ್ದರು.",3009,65,0,Happy Married Life All New Couples 💐💐🎊🎊💥☀️💥☀️,en,Happy Married Life All New Couples,1.0,Praise
1295153758835537,"ದಾವಣಗೆರೆಯ ಬಾಪೂಜಿ ಬ್ಯಾಂಕ್ ಸಮುದಾಯಭವನದಲ್ಲಿ ಅಪ್ಪಾಜಿಯವರ ಜನ್ಮದಿನದ ಪ್ರಯುಕ್ತ ಎಸ್ ಎಸ್ ಎಂ ಅಭಿಮಾನಿಗಳ ಬಳಗದಿಂದ ಆಯೋಜಿಸಿದ್ದ ಸರ್ವಧರ್ಮ ಸಾಮೂಹಿಕ ವಿವಾಹ ಮಹೋತ್ಸವದಲ್ಲಿ ಭಾಗವಹಿಸಿ ನವಜೋಡಿಗೆ ಶುಭಹಾರೈಸಲಾಯಿತು. ಈ ಸಂದರ್ಭದಲ್ಲಿ ಸನ್ಮಾನ್ಯ ಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀಯುತ ಸಿದ್ದರಾಮಯ್ಯ ಅವರು‌ ಅಪ್ಪಾಜಿಯವರನ್ನು ಪುಷ್ಪವೃಷ್ಠಿ ಮೂಲಕ ಶುಭಕೋರಿದ್ದು ವಿಶೇಷವಾಗಿತ್ತು.ಉಪಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀ ಡಿ.ಕೆ ಶಿವಕುಮಾರ್, ಗೃಹಸಚಿವರಾದ ಶ್ರೀ ಜಿ.ಪರಮೇಶ್ವರ್,ಮಾಜಿ ಸಚಿವರಾದ ಹೆಚ್.ಆಂಜನೇಯ, ಶಾಸಕರುಗಳಾದ ಕೆ
ಎಸ್ ಬಸವಂತಪ್ಪ,ಬಿ.ದೇವೇಂದ್ರಪ್ಪ ಸೇರಿದಂತೆ ಪಕ್ಷದ ಮುಖಂಡರುಗಳು,ಕಾರ್ಯಕರ್ತರು ಹಾಗೂ ಅಭಿಮಾನಿಗಳು ಉಪಸ್ಥಿತರಿದ್ದರು.",3009,65,2,"ಡಾ ಶಾಮನೂರು ಶಿವಶಂಕರಪ್ಪರವರಿಗೆ  ದೇವರು ಆಯುರಾರೋಗ್ಯ ಕರುಣಿಸಲಿ 🙏🙏🎂🎊💐🌹  ಸರ್ವ ಧರ್ಮ ಸಾಮೂಹಿಕ ವಿವಾಹ ಕಾರ್ಯಕ್ರಮ ನಿಮ್ಮ ಹುಟ್ಟು ಹಬ್ಬದ ಪ್ರಯುಕ್ತ ಬಡಜನರಿಗೆ ತುಂಬಾ ಉಪಯುಕ್ತವಾಗಿದೆ ,🙏🙏🙏",kn,May God bless Dr. Shamanur Shivashankarappa with good health. The all-religion mass marriage program on the occasion of your birthday is very useful for the poor people.,1.0,Healthcare
1295153758835537,"ದಾವಣಗೆರೆಯ ಬಾಪೂಜಿ ಬ್ಯಾಂಕ್ ಸಮುದಾಯಭವನದಲ್ಲಿ ಅಪ್ಪಾಜಿಯವರ ಜನ್ಮದಿನದ ಪ್ರಯುಕ್ತ ಎಸ್ ಎಸ್ ಎಂ ಅಭಿಮಾನಿಗಳ ಬಳಗದಿಂದ ಆಯೋಜಿಸಿದ್ದ ಸರ್ವಧರ್ಮ ಸಾಮೂಹಿಕ ವಿವಾಹ ಮಹೋತ್ಸವದಲ್ಲಿ ಭಾಗವಹಿಸಿ ನವಜೋಡಿಗೆ ಶುಭಹಾರೈಸಲಾಯಿತು. ಈ ಸಂದರ್ಭದಲ್ಲಿ ಸನ್ಮಾನ್ಯ ಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀಯುತ ಸಿದ್ದರಾಮಯ್ಯ ಅವರು‌ ಅಪ್ಪಾಜಿಯವರನ್ನು ಪುಷ್ಪವೃಷ್ಠಿ ಮೂಲಕ ಶುಭಕೋರಿದ್ದು ವಿಶೇಷವಾಗಿತ್ತು.ಉಪಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀ ಡಿ.ಕೆ ಶಿವಕುಮಾರ್, ಗೃಹಸಚಿವರಾದ ಶ್ರೀ ಜಿ.ಪರಮೇಶ್ವರ್,ಮಾಜಿ ಸಚಿವರಾದ ಹೆಚ್.ಆಂಜನೇಯ, ಶಾಸಕರುಗಳಾದ ಕೆ
ಎಸ್ ಬಸವಂತಪ್ಪ,ಬಿ.ದೇವೇಂದ್ರಪ್ಪ ಸೇರಿದಂತೆ ಪಕ್ಷದ ಮುಖಂಡರುಗಳು,ಕಾರ್ಯಕರ್ತರು ಹಾಗೂ ಅಭಿಮಾನಿಗಳು ಉಪಸ್ಥಿತರಿದ್ದರು.",3009,65,0,Happy Birthday sir,en,Happy Birthday sir,1.0,Praise
1295153758835537,"ದಾವಣಗೆರೆಯ ಬಾಪೂಜಿ ಬ್ಯಾಂಕ್ ಸಮುದಾಯಭವನದಲ್ಲಿ ಅಪ್ಪಾಜಿಯವರ ಜನ್ಮದಿನದ ಪ್ರಯುಕ್ತ ಎಸ್ ಎಸ್ ಎಂ ಅಭಿಮಾನಿಗಳ ಬಳಗದಿಂದ ಆಯೋಜಿಸಿದ್ದ ಸರ್ವಧರ್ಮ ಸಾಮೂಹಿಕ ವಿವಾಹ ಮಹೋತ್ಸವದಲ್ಲಿ ಭಾಗವಹಿಸಿ ನವಜೋಡಿಗೆ ಶುಭಹಾರೈಸಲಾಯಿತು. ಈ ಸಂದರ್ಭದಲ್ಲಿ ಸನ್ಮಾನ್ಯ ಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀಯುತ ಸಿದ್ದರಾಮಯ್ಯ ಅವರು‌ ಅಪ್ಪಾಜಿಯವರನ್ನು ಪುಷ್ಪವೃಷ್ಠಿ ಮೂಲಕ ಶುಭಕೋರಿದ್ದು ವಿಶೇಷವಾಗಿತ್ತು.ಉಪಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀ ಡಿ.ಕೆ ಶಿವಕುಮಾರ್, ಗೃಹಸಚಿವರಾದ ಶ್ರೀ ಜಿ.ಪರಮೇಶ್ವರ್,ಮಾಜಿ ಸಚಿವರಾದ ಹೆಚ್.ಆಂಜನೇಯ, ಶಾಸಕರುಗಳಾದ ಕೆ
ಎಸ್ ಬಸವಂತಪ್ಪ,ಬಿ.ದೇವೇಂದ್ರಪ್ಪ ಸೇರಿದಂತೆ ಪಕ್ಷದ ಮುಖಂಡರುಗಳು,ಕಾರ್ಯಕರ್ತರು ಹಾಗೂ ಅಭಿಮಾನಿಗಳು ಉಪಸ್ಥಿತರಿದ್ದರು.",3009,65,0,I wish you happy many more returns of  day sir,en,I wish you happy many more returns of day sir,1.0,Praise
1295153758835537,"ದಾವಣಗೆರೆಯ ಬಾಪೂಜಿ ಬ್ಯಾಂಕ್ ಸಮುದಾಯಭವನದಲ್ಲಿ ಅಪ್ಪಾಜಿಯವರ ಜನ್ಮದಿನದ ಪ್ರಯುಕ್ತ ಎಸ್ ಎಸ್ ಎಂ ಅಭಿಮಾನಿಗಳ ಬಳಗದಿಂದ ಆಯೋಜಿಸಿದ್ದ ಸರ್ವಧರ್ಮ ಸಾಮೂಹಿಕ ವಿವಾಹ ಮಹೋತ್ಸವದಲ್ಲಿ ಭಾಗವಹಿಸಿ ನವಜೋಡಿಗೆ ಶುಭಹಾರೈಸಲಾಯಿತು. ಈ ಸಂದರ್ಭದಲ್ಲಿ ಸನ್ಮಾನ್ಯ ಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀಯುತ ಸಿದ್ದರಾಮಯ್ಯ ಅವರು‌ ಅಪ್ಪಾಜಿಯವರನ್ನು ಪುಷ್ಪವೃಷ್ಠಿ ಮೂಲಕ ಶುಭಕೋರಿದ್ದು ವಿಶೇಷವಾಗಿತ್ತು.ಉಪಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀ ಡಿ.ಕೆ ಶಿವಕುಮಾರ್, ಗೃಹಸಚಿವರಾದ ಶ್ರೀ ಜಿ.ಪರಮೇಶ್ವರ್,ಮಾಜಿ ಸಚಿವರಾದ ಹೆಚ್.ಆಂಜನೇಯ, ಶಾಸಕರುಗಳಾದ ಕೆ
ಎಸ್ ಬಸವಂತಪ್ಪ,ಬಿ.ದೇವೇಂದ್ರಪ್ಪ ಸೇರಿದಂತೆ ಪಕ್ಷದ ಮುಖಂಡರುಗಳು,ಕಾರ್ಯಕರ್ತರು ಹಾಗೂ ಅಭಿಮಾನಿಗಳು ಉಪಸ್ಥಿತರಿದ್ದರು.",3009,65,2,", ಅಖಿಲ ಭಾರತ ವೀರಶೈವ ಮಹಾಸಭೆಯ ರಾಷ್ಟ್ರೀಯ ಮತ್ತು ಅಂತಾರಾಷ್ಟ್ರೀಯ ಅಧ್ಯಕ್ಷರು ನಮ್ಮ ನಾಡಿನ ಹಿರಿಯ ಚೇತನ ಗೌರವಾನ್ವಿತ ಶಾಸಕರು ನಮ್ಮ ನೆಚ್ಚಿನ ನಾಯಕರು ಡಾ.ಶಾಮನೂರು ಶಿವಶಂಕರಪ್ಪ ನವರಿಗೆ 95ನೆ ವರ್ಷದ ಹುಟ್ಟು ಹಬ್ಬದ ಶುಭಾಶಯಗಳು ಶುಭವಾಗಲಿ ಹಿರಿಯರಿಗೆ",kn,", National and International President of the All India Veerashaiva Mahasabha, our country&#39;s senior spirit, respected MLA, our favorite leader Dr. Shamanur Shivashankarappa, on his 95th birthday. May all the elders be blessed.",1.0,Praise
1295153758835537,"ದಾವಣಗೆರೆಯ ಬಾಪೂಜಿ ಬ್ಯಾಂಕ್ ಸಮುದಾಯಭವನದಲ್ಲಿ ಅಪ್ಪಾಜಿಯವರ ಜನ್ಮದಿನದ ಪ್ರಯುಕ್ತ ಎಸ್ ಎಸ್ ಎಂ ಅಭಿಮಾನಿಗಳ ಬಳಗದಿಂದ ಆಯೋಜಿಸಿದ್ದ ಸರ್ವಧರ್ಮ ಸಾಮೂಹಿಕ ವಿವಾಹ ಮಹೋತ್ಸವದಲ್ಲಿ ಭಾಗವಹಿಸಿ ನವಜೋಡಿಗೆ ಶುಭಹಾರೈಸಲಾಯಿತು. ಈ ಸಂದರ್ಭದಲ್ಲಿ ಸನ್ಮಾನ್ಯ ಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀಯುತ ಸಿದ್ದರಾಮಯ್ಯ ಅವರು‌ ಅಪ್ಪಾಜಿಯವರನ್ನು ಪುಷ್ಪವೃಷ್ಠಿ ಮೂಲಕ ಶುಭಕೋರಿದ್ದು ವಿಶೇಷವಾಗಿತ್ತು.ಉಪಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀ ಡಿ.ಕೆ ಶಿವಕುಮಾರ್, ಗೃಹಸಚಿವರಾದ ಶ್ರೀ ಜಿ.ಪರಮೇಶ್ವರ್,ಮಾಜಿ ಸಚಿವರಾದ ಹೆಚ್.ಆಂಜನೇಯ, ಶಾಸಕರುಗಳಾದ ಕೆ
ಎಸ್ ಬಸವಂತಪ್ಪ,ಬಿ.ದೇವೇಂದ್ರಪ್ಪ ಸೇರಿದಂತೆ ಪಕ್ಷದ ಮುಖಂಡರುಗಳು,ಕಾರ್ಯಕರ್ತರು ಹಾಗೂ ಅಭಿಮಾನಿಗಳು ಉಪಸ್ಥಿತರಿದ್ದರು.",3009,65,0,Very very good gesture by CM  down to earth,en,Very very good gesture by CM down to earth,1.0,Praise
1295153758835537,"ದಾವಣಗೆರೆಯ ಬಾಪೂಜಿ ಬ್ಯಾಂಕ್ ಸಮುದಾಯಭವನದಲ್ಲಿ ಅಪ್ಪಾಜಿಯವರ ಜನ್ಮದಿನದ ಪ್ರಯುಕ್ತ ಎಸ್ ಎಸ್ ಎಂ ಅಭಿಮಾನಿಗಳ ಬಳಗದಿಂದ ಆಯೋಜಿಸಿದ್ದ ಸರ್ವಧರ್ಮ ಸಾಮೂಹಿಕ ವಿವಾಹ ಮಹೋತ್ಸವದಲ್ಲಿ ಭಾಗವಹಿಸಿ ನವಜೋಡಿಗೆ ಶುಭಹಾರೈಸಲಾಯಿತು. ಈ ಸಂದರ್ಭದಲ್ಲಿ ಸನ್ಮಾನ್ಯ ಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀಯುತ ಸಿದ್ದರಾಮಯ್ಯ ಅವರು‌ ಅಪ್ಪಾಜಿಯವರನ್ನು ಪುಷ್ಪವೃಷ್ಠಿ ಮೂಲಕ ಶುಭಕೋರಿದ್ದು ವಿಶೇಷವಾಗಿತ್ತು.ಉಪಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀ ಡಿ.ಕೆ ಶಿವಕುಮಾರ್, ಗೃಹಸಚಿವರಾದ ಶ್ರೀ ಜಿ.ಪರಮೇಶ್ವರ್,ಮಾಜಿ ಸಚಿವರಾದ ಹೆಚ್.ಆಂಜನೇಯ, ಶಾಸಕರುಗಳಾದ ಕೆ
ಎಸ್ ಬಸವಂತಪ್ಪ,ಬಿ.ದೇವೇಂದ್ರಪ್ಪ ಸೇರಿದಂತೆ ಪಕ್ಷದ ಮುಖಂಡರುಗಳು,ಕಾರ್ಯಕರ್ತರು ಹಾಗೂ ಅಭಿಮಾನಿಗಳು ಉಪಸ್ಥಿತರಿದ್ದರು.",3009,65,0,Happy Birthday Legend 🎂❤🎉,en,Happy Birthday Legend,1.0,Praise
1295153758835537,"ದಾವಣಗೆರೆಯ ಬಾಪೂಜಿ ಬ್ಯಾಂಕ್ ಸಮುದಾಯಭವನದಲ್ಲಿ ಅಪ್ಪಾಜಿಯವರ ಜನ್ಮದಿನದ ಪ್ರಯುಕ್ತ ಎಸ್ ಎಸ್ ಎಂ ಅಭಿಮಾನಿಗಳ ಬಳಗದಿಂದ ಆಯೋಜಿಸಿದ್ದ ಸರ್ವಧರ್ಮ ಸಾಮೂಹಿಕ ವಿವಾಹ ಮಹೋತ್ಸವದಲ್ಲಿ ಭಾಗವಹಿಸಿ ನವಜೋಡಿಗೆ ಶುಭಹಾರೈಸಲಾಯಿತು. ಈ ಸಂದರ್ಭದಲ್ಲಿ ಸನ್ಮಾನ್ಯ ಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀಯುತ ಸಿದ್ದರಾಮಯ್ಯ ಅವರು‌ ಅಪ್ಪಾಜಿಯವರನ್ನು ಪುಷ್ಪವೃಷ್ಠಿ ಮೂಲಕ ಶುಭಕೋರಿದ್ದು ವಿಶೇಷವಾಗಿತ್ತು.ಉಪಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀ ಡಿ.ಕೆ ಶಿವಕುಮಾರ್, ಗೃಹಸಚಿವರಾದ ಶ್ರೀ ಜಿ.ಪರಮೇಶ್ವರ್,ಮಾಜಿ ಸಚಿವರಾದ ಹೆಚ್.ಆಂಜನೇಯ, ಶಾಸಕರುಗಳಾದ ಕೆ
ಎಸ್ ಬಸವಂತಪ್ಪ,ಬಿ.ದೇವೇಂದ್ರಪ್ಪ ಸೇರಿದಂತೆ ಪಕ್ಷದ ಮುಖಂಡರುಗಳು,ಕಾರ್ಯಕರ್ತರು ಹಾಗೂ ಅಭಿಮಾನಿಗಳು ಉಪಸ್ಥಿತರಿದ್ದರು.",3009,65,0,Happy birthday🎂,en,Happy birthday,1.0,Praise
1295153758835537,"ದಾವಣಗೆರೆಯ ಬಾಪೂಜಿ ಬ್ಯಾಂಕ್ ಸಮುದಾಯಭವನದಲ್ಲಿ ಅಪ್ಪಾಜಿಯವರ ಜನ್ಮದಿನದ ಪ್ರಯುಕ್ತ ಎಸ್ ಎಸ್ ಎಂ ಅಭಿಮಾನಿಗಳ ಬಳಗದಿಂದ ಆಯೋಜಿಸಿದ್ದ ಸರ್ವಧರ್ಮ ಸಾಮೂಹಿಕ ವಿವಾಹ ಮಹೋತ್ಸವದಲ್ಲಿ ಭಾಗವಹಿಸಿ ನವಜೋಡಿಗೆ ಶುಭಹಾರೈಸಲಾಯಿತು. ಈ ಸಂದರ್ಭದಲ್ಲಿ ಸನ್ಮಾನ್ಯ ಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀಯುತ ಸಿದ್ದರಾಮಯ್ಯ ಅವರು‌ ಅಪ್ಪಾಜಿಯವರನ್ನು ಪುಷ್ಪವೃಷ್ಠಿ ಮೂಲಕ ಶುಭಕೋರಿದ್ದು ವಿಶೇಷವಾಗಿತ್ತು.ಉಪಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀ ಡಿ.ಕೆ ಶಿವಕುಮಾರ್, ಗೃಹಸಚಿವರಾದ ಶ್ರೀ ಜಿ.ಪರಮೇಶ್ವರ್,ಮಾಜಿ ಸಚಿವರಾದ ಹೆಚ್.ಆಂಜನೇಯ, ಶಾಸಕರುಗಳಾದ ಕೆ
ಎಸ್ ಬಸವಂತಪ್ಪ,ಬಿ.ದೇವೇಂದ್ರಪ್ಪ ಸೇರಿದಂತೆ ಪಕ್ಷದ ಮುಖಂಡರುಗಳು,ಕಾರ್ಯಕರ್ತರು ಹಾಗೂ ಅಭಿಮಾನಿಗಳು ಉಪಸ್ಥಿತರಿದ್ದರು.",3009,65,0,Happy birthday 🎂🎂 Sir,en,Happy birthday Sir,1.0,Praise
1295153758835537,"ದಾವಣಗೆರೆಯ ಬಾಪೂಜಿ ಬ್ಯಾಂಕ್ ಸಮುದಾಯಭವನದಲ್ಲಿ ಅಪ್ಪಾಜಿಯವರ ಜನ್ಮದಿನದ ಪ್ರಯುಕ್ತ ಎಸ್ ಎಸ್ ಎಂ ಅಭಿಮಾನಿಗಳ ಬಳಗದಿಂದ ಆಯೋಜಿಸಿದ್ದ ಸರ್ವಧರ್ಮ ಸಾಮೂಹಿಕ ವಿವಾಹ ಮಹೋತ್ಸವದಲ್ಲಿ ಭಾಗವಹಿಸಿ ನವಜೋಡಿಗೆ ಶುಭಹಾರೈಸಲಾಯಿತು. ಈ ಸಂದರ್ಭದಲ್ಲಿ ಸನ್ಮಾನ್ಯ ಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀಯುತ ಸಿದ್ದರಾಮಯ್ಯ ಅವರು‌ ಅಪ್ಪಾಜಿಯವರನ್ನು ಪುಷ್ಪವೃಷ್ಠಿ ಮೂಲಕ ಶುಭಕೋರಿದ್ದು ವಿಶೇಷವಾಗಿತ್ತು.ಉಪಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀ ಡಿ.ಕೆ ಶಿವಕುಮಾರ್, ಗೃಹಸಚಿವರಾದ ಶ್ರೀ ಜಿ.ಪರಮೇಶ್ವರ್,ಮಾಜಿ ಸಚಿವರಾದ ಹೆಚ್.ಆಂಜನೇಯ, ಶಾಸಕರುಗಳಾದ ಕೆ
ಎಸ್ ಬಸವಂತಪ್ಪ,ಬಿ.ದೇವೇಂದ್ರಪ್ಪ ಸೇರಿದಂತೆ ಪಕ್ಷದ ಮುಖಂಡರುಗಳು,ಕಾರ್ಯಕರ್ತರು ಹಾಗೂ ಅಭಿಮಾನಿಗಳು ಉಪಸ್ಥಿತರಿದ್ದರು.",3009,65,0,Wishing Happy Birthday,en,Wishing Happy Birthday,1.0,Praise
