post_id,post_caption,total_likes,num_shares,comment_count,avg_sentiment_score,sentiment_variance,negative_comment_ratio,main_topic,weighted_engagement_rate,most_negative_comment,most_positive_comment,original_negative_context,original_positive_context
1195724588778455,"ಅನುದಾನ‌ ನೀಡುವಲ್ಲಿ ಕೇಂದ್ರದ ತಾರತಮ್ಯ...
#NammaPrabha #MPOfDavangere",4796,130,1,,0.0,0.0,N/A,0.05746590909090909,N/A,N/A,N/A,N/A
1198164318534482,"ನವದೆಹಲಿಯ ಸಂಸತ್ ಅಧಿವೇಶನದಲ್ಲಿ ನಡೆದ ಚರ್ಚೆಗಳ ಮಾಹಿತಿಯನ್ನು  ಶಾಮನೂರು ಶಿವಶಂಕರಪ್ಪಾಜಿಯವರೊಂದಿಗೆ ಹಂಚಿಕೊಳ್ಳಲಾಯಿತು.ಇದೇ ವೇಳೆ ಅಧಿವೇಶನದಲ್ಲಿ  ಭಾಷಣವನ್ನು ಮಾಧ್ಯಮಗಳಲ್ಲಿ ವಿಕ್ಷೀಸಿದ ಅಪ್ಪಾಜಿಯವರು ಮೆಚ್ಚುಗೆ ವ್ಯಕ್ತಪಡಿಸಿದ ಕ್ಷಣ...
Shivashankarappa Shamanur 
#DrShamanurShivashankarappa #NammaPrabha #MPOfDavangere",2125,43,1,,0.0,0.0,N/A,0.025136363636363637,N/A,N/A,N/A,N/A
1223595485991365,"ಯುವಸಮೂಹಕ್ಕೆ ಕೌಶಲ್ಯಾಭಿವೃದ್ದಿ ತರಬೇತಿ ಹಾಗೂ ಉದ್ಯೋಗಮೇಳ‌ ಆಯೋಜನೆ ಕುರಿತು ರೈಸಿಂಗ್ ದಾವಣಗೆರೆ ಕಾರ್ಯಕ್ರಮದಲ್ಲಿ ಮಾತನಾಡಿದ ಸಂದರ್ಭ...
#NammaPrabha #MPOfDavangere",103,11,1,0.0,0.0,0.0,Education,0.0014318181818181819,"Yes education is very important we all know that but on the other hand all politicians exception may Prabha madam,other wise most politicians in congress are BJP are high school drop outs ,don’t even test common people with any rest.Even you wouldn’t be in this position with out back up of money and power,yet I am very glad to see a women in this position. Good luck and all the best to you madam","Yes education is very important we all know that but on the other hand all politicians exception may Prabha madam,other wise most politicians in congress are BJP are high school drop outs ,don’t even test common people with any rest.Even you wouldn’t be in this position with out back up of money and power,yet I am very glad to see a women in this position. Good luck and all the best to you madam","Yes education is very important we all know that but on the other hand all politicians exception may Prabha madam,other wise most politicians in congress are BJP are high school drop outs ,don’t even test common people with any rest.Even you wouldn’t be in this  position with out back up of money and power,yet I am very glad to see a women in this position.
Good luck and all the best to you madam","Yes education is very important we all know that but on the other hand all politicians exception may Prabha madam,other wise most politicians in congress are BJP are high school drop outs ,don’t even test common people with any rest.Even you wouldn’t be in this  position with out back up of money and power,yet I am very glad to see a women in this position.
Good luck and all the best to you madam"
1225527929131454,"ನನ್ನ ಜನ್ಮದಿನವನ್ನು ಅರ್ಥಪೂರ್ಣವಾಗಿ ಆಚರಿಸಿದ  ಪ್ರತಿಯೊಬ್ಬರಿಗೂ ಹೃತ್ಪೂರ್ವಕ ಧನ್ಯವಾದಗಳು.
ನನ್ನ ಸಲಹೆಗೆ ಸ್ಪಂದಿಸಿ ಯಾವುದೇ ದುಂದುವೆಚ್ಚಗಳಿಗೆ ಆದ್ಯತೆ ‌ನೀಡದೆ ಜನಪರ ಕಾರ್ಯದ ಮೂಲಕ ಶುಭಕೋರಿದ ಎಲ್ಲರಿಗೂ‌ ನನ್ನ ನಮನಗಳು...
#NammaPrabha #davangere #MPOfDavangere #ForThePeople #birthdayblessings #teamprabhavikas",1930,35,3,1.0,0.0,0.0,Praise,0.022761363636363635,Madam.. I wish you.. a good.. greeting.. as much as I can. Big. Not. I.. Other. May God do good...... Now. Good. Good. Work.. Do it..,Madam.. I wish you.. a good.. greeting.. as much as I can. Big. Not. I.. Other. May God do good...... Now. Good. Good. Work.. Do it..,ಮೇಡಂ.. ನಿಮಿಗೆ.. ಶುಭಾಶಯ.. ಹೇಳುವಷ್ಟು. ದೊಡ್ಡ್ವರ್. ಅಲ್ಲ. ನಾನು.. ಅದ್ರ್. ದೇವರು ಒಳ್ಳೇದು ಮಾಡ್ಲಿ...... ಇನ್ನು. ಒಳ್ಳೆ ಒಳ್ಳೆ. ವರ್ಕ್.. ಮಾಡಿ.. 👍👍👍,ಮೇಡಂ.. ನಿಮಿಗೆ.. ಶುಭಾಶಯ.. ಹೇಳುವಷ್ಟು. ದೊಡ್ಡ್ವರ್. ಅಲ್ಲ. ನಾನು.. ಅದ್ರ್. ದೇವರು ಒಳ್ಳೇದು ಮಾಡ್ಲಿ...... ಇನ್ನು. ಒಳ್ಳೆ ಒಳ್ಳೆ. ವರ್ಕ್.. ಮಾಡಿ.. 👍👍👍
1230052595345654,"ದಾವಣಗೆರೆಯ ಭದ್ರಾ ಕಾಲುವೆಯ ಟೇಲ್-ಎಂಡ್ ಗ್ರಾಮೀಣ ಪ್ರದೇಶಗಳಾದ-ಹರಿಹರ, ಮಲೆಬೆನ್ನೂರು, ದಾವಣಗೆರೆ, ಹರಪನಹಳ್ಳಿ ಸೇರಿದಂತೆ ಸುಮಾರು 5,700 ಹೆಕ್ಟೇರ್ ಕೃಷಿ ಭೂಮಿಯನ್ನು ಹೊಂದಿದ್ದು, ನೂರಾರು ಗ್ರಾಮೀಣ ಪ್ರದೇಶಗಳಿಗೆ ನೀರು ಒದಗಿಸುತ್ತಿದೆ.ಈ ಕಾಲುವೆಗಳಲ್ಲಿ ಭಾರಿ ಹೂಳು ಶೇಖರಣೆಯಾಗಿರುವುದರಿಂದ ರೈತರು ವಾರ್ಷಿಕ ಒಂದೇ ಬೆಳೆಯುತ್ತಿದ್ದು ಆರ್ಥಿಕ ಸಂಕಷ್ಟಕ್ಕೆ ಒಳಗಾಗಿದ್ದಾರೆ.ಭದ್ರಾ ಕಾಲುವೆಯ ಹೂಳೆತ್ತಲು ಮತ್ತು ನೀರಿನ ಹರಿವನ್ನು ಸುಗಮಗೊಳಿಸಲು ಮತ್ತು ಆಧುನಿಕರಣಗೊಳಿಸಲು ಅಂದಾಜು ರೂ. 150 ಕೋಟಿಯ ವಿಶೇಷ ಅನುದಾನವನ್ನು ಕಾಲುವೆಗಳ ಕೊನೆ ಭಾಗದ ರೈತರ ಅನುಕೂಲಕ್ಕಾಗಿ ಬಿಡುಗಡೆ ಮಾಡಬೇಕು ಎಂದು ಸಂಸತ್ತಿನಲ್ಲಿ ಮಾತನಾಡಲಾಯಿತು.
Indian National Congress 
Indian National Congress - Karnataka 

#BhadraCanal #Davangere #Harihar #Malebennur #Harapanahalli #Farmers",4520,189,11,0.14285714285714285,0.14285714285714288,0.0,Praise,0.05578409090909091,Bari harihara harapanali Channagiri Uddar Aitu Jagalur Uddar has not yet been established.,"If you choose a woman CM next, you are the right woman, madam. You have all the qualities to become a CM. May you become a woman CM of Karnataka as soon as possible.",Bari harihara harapanalli ಚನ್ನಗಿರಿ ಉದ್ದರ ಆಯ್ತು  ಜಗಳೂರು ಉದ್ದಾರ ಆಗಲೇ ಇಲ್ಲ,ನೆಕ್ಸ್ಟ್ ಏನಾದ್ರೂ ಮಹಿಳಾ CM ಅಂತಾ ಆಯ್ಕೆ ಮಾಡಿದ್ರೆ ನೀವು ಸೂಕ್ತ ಮಹಿಳೆ ಮೇಡಂ ನಿಮಗೆ cm ಆಗೋ ಎಲ್ಲ ಲಕ್ಷಣ ಇದೆ ಆದಷ್ಟು ಬೇಗ ನೀವು ಕರ್ನಾಟಕದ ಮಹಿಳಾ CM ಆಗಲಿ 🙏🙏
1233122271705353,"ದಾವಣಗೆರೆಯ ಹಳೆ ಪಿ ಬಿ ರಸ್ತೆಯ ಖಬರಸ್ತಾನದಲ್ಲಿ ವಜುಖಾನ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿಯ ಭೂಮಿಪೂಜೆ ನೆರವೇರಿಸಿದ ಸಂದರ್ಭದಲ್ಲಿ ಮಾತನಾಡಿದ ಕ್ಷಣಗಳು
S S Mallikarjun 
#Davanagere #OldPBRoad #Khabrastan #Construction #BhoomiPooja",5230,126,4,-0.25,0.9166666666666669,0.5,Criticism,0.06234090909090909,City not cleaning.,We are proud of you madam because of you are our district M P,City not cleaning.,We are proud of you madam because of you are our district M P
1234686348215612,"ಶಿವಶರಣರ ಆಶಯದಂತೆ ಪ್ರತಿ ಮಹಿಳೆಗೂ ಶಿಕ್ಷಣ,ಸಮಾನ ಅವಕಾಶ ದೊರೆಯಬೇಕು ಹಾಗೂ ಪ್ರೋತ್ಸಾಹ ಜೊತೆಗೆ ಒಳ್ಳೆಯ ನುಡಿ ಆಕೆಯ ಸಾಧನೆಗೆ ,ಯಶಸ್ಸಿಗೆ ಕಾರಣವಾಗಲಿದೆ....
#WomenEmpowerment #EqualOpportunities #EducationForAll #SuccessThroughSupport",6115,104,1,,0.0,0.0,N/A,0.07186363636363637,N/A,N/A,N/A,N/A
1245101650507415,"ಗೃಹಕಚೇರಿ ಹಾಗೂ ದಾವಣಗೆರೆ ಕ್ಷೇತ್ರದಲ್ಲಿ ನನ್ನ ದಿನಚರಿ
#NammaPrabha #MPOfDavangere",795,7,1,,0.0,0.0,N/A,0.009204545454545455,N/A,N/A,N/A,N/A
1250236026660644,"ದಾವಣಗೆರೆ ಕ್ಷೇತ್ರದಲ್ಲಿ ನನ್ನ ದಿನಚರಿ...
#NammaPrabha #MPOfDavangere",851,10,1,1.0,0.0,0.0,Praise,0.009909090909090909,Super madam,Super madam,Super madam 🙏🙏,Super madam 🙏🙏
1250668089950771,"ದಾವಣಗೆರೆ ಕ್ಷೇತ್ರದಲ್ಲಿ, ನನ್ನ ಸೋಮವಾರದ ದಿನಚರಿ
#NammaPrabha #MPOfDavangere",1958,35,1,1.0,0.0,0.0,Criticism,0.023056818181818182,X,X,X,X
1257643402586573,"ಮಕ್ಕಳಿಗೆ ಪ್ರಾಯೋಗಿಕ ಹಾದಿಯ ಮೂಲಕ ದೊರೆತ ಶಿಕ್ಷಣ ಮನಸ್ಸಿನಲ್ಲಿ ಆಳವಾಗಿ ನೆಲೆಸುತ್ತದೆ....ಪ್ರಾಯೋಗಿಕ ಪಾಠಗಳು ಮಕ್ಕಳ ಕಲಿಕೆಗೂ ಸಹಕಾರಿ....
#ExperientialLearning #LearningByDoing #HandsOnEducation #PracticalLearning #ChildEducation #DeepLearning #EffectiveTeaching",3749,82,6,0.8,0.2,0.0,Praise,0.04453409090909091,"Madam, your school, college, medical college, all educational institutions in Davangere are yours, right, Madam?",We are happy to have made the teacher candidate from Davangere constituency win.,"ಮೇಡಂ ದಾವಣಗೆರೆಯಲ್ಲಿ ನಿಮ್ಮ ಸ್ಕೂಲ್, ಕಾಲೇಜ್, ಮೆಡಿಕಲ್ ಕಾಲೇಜ್,  ಎಲ್ಲಾ ಶಿಕ್ಷಣ ಸಂಸ್ಥೆಗಳು  ನಿಮ್ಮವೆ ಇದಾವಲ್ಲಾ ಮೇಡಂ",ದಾವಣಗೆರೆ ಕ್ಷೇತ್ರದ  ಶಿಕ್ಷಕ ಅಭ್ಯರ್ಥಿಯನ್ನು ಗೆಲ್ಲಿಸಿರುವ ಖುಷಿ ನಮಗಿದೆ
1260039279013652,"ಎಲ್ಲರಿಗೂ ನಮಸ್ಕಾರ,
ದಾವಣಗೆರೆ ತಾಲ್ಲೂಕಿನಲ್ಲಿರುವ ಕಕ್ಕರಗೊಳ್ಳದ ಗ್ರಾಮದೇವತೆ ಊರಮ್ಮದೇವಿ ದೇವಸ್ಥಾನದ ಲೋಕಾರ್ಪಣೆ ನಾಳೆ ನಡೆಯಲಿದೆ ಹಾಗೂ ಮೇ.1 ರಂದು ಜಗಜ್ಯೋತಿ ಬಸವಣ್ಣನವರ ಜಯಂತ್ಯೋತ್ಸವ,ಸರ್ವ ಶರಣ ಸಮ್ಮೇಳನ ಸಹ ಆಯೋಜಿಸಲಾಗಿದೆ.ಈ ಎಲ್ಲಾ ಕಾರ್ಯಕ್ರಮಗಳಿಗೆ ತಮಗೆಲ್ಲರಿಗೂ ಆತ್ಮೀಯ ಸ್ವಾಗತ.
#UrammaDeviTemple #TempleInauguration #JagajyothiBasavanna #BasavaJayanthi #SharanaSammelana",5238,78,10,0.6666666666666666,0.33333333333333337,0.0,Praise,0.061409090909090906,@,Super like that,@,Super akka
1260282262322687,"ಸರ್ವರಿಗೂ
ಜಗಜ್ಯೋತಿ,ವಿಶ್ವಮಾನವ ಹಾಗೂ ಭಕ್ತಿಭಂಡಾರಿ ಬಸವಣ್ಣನವರ ಜಯಂತಿಯ ಹಾರ್ದಿಕ ಶುಭಾಶಯಗಳು. ಬಸವಣ್ಣನವರ ಆದರ್ಶಗಳು ಹಾಗೂ ಮೌಲ್ಯಗಳನ್ನು ಜೀವನದಲ್ಲಿ ಅಳವಡಿಸಿಕೊಳ್ಳೋಣ...
#BasavannaJayanti #JagajyotiBasavanna",284,8,2,,0.0,0.0,N/A,0.0034318181818181817,N/A,N/A,N/A,N/A
