text,date,commentUrl,profileName,likesCount,postTitle,facebookUrl
Happy Married Life All New Couples 💐💐🎊🎊💥☀️💥☀️,2025-06-18T15:31:48.000Z,https://www.facebook.com/SSMDVG/posts/pfbid0a6CErknYaFRRyU1N2n2fMTVmB5VTpuJGrgJNt8PAUMpXYNSbWrVGmzzk59way3hDl?comment_id=1021583036727319,Kotesh Bankar,0,"ದಾವಣಗೆರೆಯ ಬಾಪೂಜಿ ಬ್ಯಾಂಕ್ ಸಮುದಾಯಭವನದಲ್ಲಿ ಅಪ್ಪಾಜಿಯವರ ಜನ್ಮದಿನದ ಪ್ರಯುಕ್ತ ಎಸ್ ಎಸ್ ಎಂ ಅಭಿಮಾನಿಗಳ ಬಳಗದಿಂದ ಆಯೋಜಿಸಿದ್ದ ಸರ್ವಧರ್ಮ ಸಾಮೂಹಿಕ ವಿವಾಹ ಮಹೋತ್ಸವದಲ್ಲಿ ಭಾಗವಹಿಸಿ ನವಜೋಡಿಗೆ ಶುಭಹಾರೈಸಲಾಯಿತು. ಈ ಸಂದರ್ಭದಲ್ಲಿ ಸನ್ಮಾನ್ಯ ಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀಯುತ ಸಿದ್ದರಾಮಯ್ಯ ಅವರು‌ ಅಪ್ಪಾಜಿಯವರನ್ನು ಪುಷ್ಪವೃಷ್ಠಿ ಮೂಲಕ ಶುಭಕೋರಿದ್ದು ವಿಶೇಷವಾಗಿತ್ತು.ಉಪಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀ ಡಿ.ಕೆ ಶಿವಕುಮಾರ್, ಗೃಹಸಚಿವರಾದ ಶ್ರೀ ಜಿ.ಪರಮೇಶ್ವರ್,ಮಾಜಿ ಸಚಿವರಾದ ಹೆಚ್.ಆಂಜನೇಯ, ಶಾಸಕರುಗಳಾದ ಕೆ
ಎಸ್ ಬಸವಂತಪ್ಪ,ಬಿ.ದೇವೇಂದ್ರಪ್ಪ ಸೇರಿದಂತೆ ಪಕ್ಷದ ಮುಖಂಡರುಗಳು,ಕಾರ್ಯಕರ್ತರು ಹಾಗೂ ಅಭಿಮಾನಿಗಳು ಉಪಸ್ಥಿತರಿದ್ದರು.",https://www.facebook.com/SSMDVG/posts/pfbid0a6CErknYaFRRyU1N2n2fMTVmB5VTpuJGrgJNt8PAUMpXYNSbWrVGmzzk59way3hDl
"ಡಾ ಶಾಮನೂರು ಶಿವಶಂಕರಪ್ಪರವರಿಗೆ  ದೇವರು ಆಯುರಾರೋಗ್ಯ ಕರುಣಿಸಲಿ 🙏🙏🎂🎊💐🌹  ಸರ್ವ ಧರ್ಮ ಸಾಮೂಹಿಕ ವಿವಾಹ ಕಾರ್ಯಕ್ರಮ ನಿಮ್ಮ ಹುಟ್ಟು ಹಬ್ಬದ ಪ್ರಯುಕ್ತ ಬಡಜನರಿಗೆ ತುಂಬಾ ಉಪಯುಕ್ತವಾಗಿದೆ ,🙏🙏🙏",2025-06-16T12:43:20.000Z,https://www.facebook.com/SSMDVG/posts/pfbid0a6CErknYaFRRyU1N2n2fMTVmB5VTpuJGrgJNt8PAUMpXYNSbWrVGmzzk59way3hDl?comment_id=1038941605040559,Veeresh Veeresh,2,"ದಾವಣಗೆರೆಯ ಬಾಪೂಜಿ ಬ್ಯಾಂಕ್ ಸಮುದಾಯಭವನದಲ್ಲಿ ಅಪ್ಪಾಜಿಯವರ ಜನ್ಮದಿನದ ಪ್ರಯುಕ್ತ ಎಸ್ ಎಸ್ ಎಂ ಅಭಿಮಾನಿಗಳ ಬಳಗದಿಂದ ಆಯೋಜಿಸಿದ್ದ ಸರ್ವಧರ್ಮ ಸಾಮೂಹಿಕ ವಿವಾಹ ಮಹೋತ್ಸವದಲ್ಲಿ ಭಾಗವಹಿಸಿ ನವಜೋಡಿಗೆ ಶುಭಹಾರೈಸಲಾಯಿತು. ಈ ಸಂದರ್ಭದಲ್ಲಿ ಸನ್ಮಾನ್ಯ ಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀಯುತ ಸಿದ್ದರಾಮಯ್ಯ ಅವರು‌ ಅಪ್ಪಾಜಿಯವರನ್ನು ಪುಷ್ಪವೃಷ್ಠಿ ಮೂಲಕ ಶುಭಕೋರಿದ್ದು ವಿಶೇಷವಾಗಿತ್ತು.ಉಪಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀ ಡಿ.ಕೆ ಶಿವಕುಮಾರ್, ಗೃಹಸಚಿವರಾದ ಶ್ರೀ ಜಿ.ಪರಮೇಶ್ವರ್,ಮಾಜಿ ಸಚಿವರಾದ ಹೆಚ್.ಆಂಜನೇಯ, ಶಾಸಕರುಗಳಾದ ಕೆ
ಎಸ್ ಬಸವಂತಪ್ಪ,ಬಿ.ದೇವೇಂದ್ರಪ್ಪ ಸೇರಿದಂತೆ ಪಕ್ಷದ ಮುಖಂಡರುಗಳು,ಕಾರ್ಯಕರ್ತರು ಹಾಗೂ ಅಭಿಮಾನಿಗಳು ಉಪಸ್ಥಿತರಿದ್ದರು.",https://www.facebook.com/SSMDVG/posts/pfbid0a6CErknYaFRRyU1N2n2fMTVmB5VTpuJGrgJNt8PAUMpXYNSbWrVGmzzk59way3hDl
Happy Birthday sir,2025-06-16T12:49:48.000Z,https://www.facebook.com/SSMDVG/posts/pfbid0a6CErknYaFRRyU1N2n2fMTVmB5VTpuJGrgJNt8PAUMpXYNSbWrVGmzzk59way3hDl?comment_id=679114288619442,Sachin Naravani,0,"ದಾವಣಗೆರೆಯ ಬಾಪೂಜಿ ಬ್ಯಾಂಕ್ ಸಮುದಾಯಭವನದಲ್ಲಿ ಅಪ್ಪಾಜಿಯವರ ಜನ್ಮದಿನದ ಪ್ರಯುಕ್ತ ಎಸ್ ಎಸ್ ಎಂ ಅಭಿಮಾನಿಗಳ ಬಳಗದಿಂದ ಆಯೋಜಿಸಿದ್ದ ಸರ್ವಧರ್ಮ ಸಾಮೂಹಿಕ ವಿವಾಹ ಮಹೋತ್ಸವದಲ್ಲಿ ಭಾಗವಹಿಸಿ ನವಜೋಡಿಗೆ ಶುಭಹಾರೈಸಲಾಯಿತು. ಈ ಸಂದರ್ಭದಲ್ಲಿ ಸನ್ಮಾನ್ಯ ಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀಯುತ ಸಿದ್ದರಾಮಯ್ಯ ಅವರು‌ ಅಪ್ಪಾಜಿಯವರನ್ನು ಪುಷ್ಪವೃಷ್ಠಿ ಮೂಲಕ ಶುಭಕೋರಿದ್ದು ವಿಶೇಷವಾಗಿತ್ತು.ಉಪಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀ ಡಿ.ಕೆ ಶಿವಕುಮಾರ್, ಗೃಹಸಚಿವರಾದ ಶ್ರೀ ಜಿ.ಪರಮೇಶ್ವರ್,ಮಾಜಿ ಸಚಿವರಾದ ಹೆಚ್.ಆಂಜನೇಯ, ಶಾಸಕರುಗಳಾದ ಕೆ
ಎಸ್ ಬಸವಂತಪ್ಪ,ಬಿ.ದೇವೇಂದ್ರಪ್ಪ ಸೇರಿದಂತೆ ಪಕ್ಷದ ಮುಖಂಡರುಗಳು,ಕಾರ್ಯಕರ್ತರು ಹಾಗೂ ಅಭಿಮಾನಿಗಳು ಉಪಸ್ಥಿತರಿದ್ದರು.",https://www.facebook.com/SSMDVG/posts/pfbid0a6CErknYaFRRyU1N2n2fMTVmB5VTpuJGrgJNt8PAUMpXYNSbWrVGmzzk59way3hDl
I wish you happy many more returns of  day sir,2025-06-17T06:21:34.000Z,https://www.facebook.com/SSMDVG/posts/pfbid0a6CErknYaFRRyU1N2n2fMTVmB5VTpuJGrgJNt8PAUMpXYNSbWrVGmzzk59way3hDl?comment_id=2635214400016229,Kallappa B N,0,"ದಾವಣಗೆರೆಯ ಬಾಪೂಜಿ ಬ್ಯಾಂಕ್ ಸಮುದಾಯಭವನದಲ್ಲಿ ಅಪ್ಪಾಜಿಯವರ ಜನ್ಮದಿನದ ಪ್ರಯುಕ್ತ ಎಸ್ ಎಸ್ ಎಂ ಅಭಿಮಾನಿಗಳ ಬಳಗದಿಂದ ಆಯೋಜಿಸಿದ್ದ ಸರ್ವಧರ್ಮ ಸಾಮೂಹಿಕ ವಿವಾಹ ಮಹೋತ್ಸವದಲ್ಲಿ ಭಾಗವಹಿಸಿ ನವಜೋಡಿಗೆ ಶುಭಹಾರೈಸಲಾಯಿತು. ಈ ಸಂದರ್ಭದಲ್ಲಿ ಸನ್ಮಾನ್ಯ ಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀಯುತ ಸಿದ್ದರಾಮಯ್ಯ ಅವರು‌ ಅಪ್ಪಾಜಿಯವರನ್ನು ಪುಷ್ಪವೃಷ್ಠಿ ಮೂಲಕ ಶುಭಕೋರಿದ್ದು ವಿಶೇಷವಾಗಿತ್ತು.ಉಪಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀ ಡಿ.ಕೆ ಶಿವಕುಮಾರ್, ಗೃಹಸಚಿವರಾದ ಶ್ರೀ ಜಿ.ಪರಮೇಶ್ವರ್,ಮಾಜಿ ಸಚಿವರಾದ ಹೆಚ್.ಆಂಜನೇಯ, ಶಾಸಕರುಗಳಾದ ಕೆ
ಎಸ್ ಬಸವಂತಪ್ಪ,ಬಿ.ದೇವೇಂದ್ರಪ್ಪ ಸೇರಿದಂತೆ ಪಕ್ಷದ ಮುಖಂಡರುಗಳು,ಕಾರ್ಯಕರ್ತರು ಹಾಗೂ ಅಭಿಮಾನಿಗಳು ಉಪಸ್ಥಿತರಿದ್ದರು.",https://www.facebook.com/SSMDVG/posts/pfbid0a6CErknYaFRRyU1N2n2fMTVmB5VTpuJGrgJNt8PAUMpXYNSbWrVGmzzk59way3hDl
", ಅಖಿಲ ಭಾರತ ವೀರಶೈವ ಮಹಾಸಭೆಯ ರಾಷ್ಟ್ರೀಯ ಮತ್ತು ಅಂತಾರಾಷ್ಟ್ರೀಯ ಅಧ್ಯಕ್ಷರು ನಮ್ಮ ನಾಡಿನ ಹಿರಿಯ ಚೇತನ ಗೌರವಾನ್ವಿತ ಶಾಸಕರು ನಮ್ಮ ನೆಚ್ಚಿನ ನಾಯಕರು ಡಾ.ಶಾಮನೂರು ಶಿವಶಂಕರಪ್ಪ ನವರಿಗೆ 95ನೆ ವರ್ಷದ ಹುಟ್ಟು ಹಬ್ಬದ ಶುಭಾಶಯಗಳು ಶುಭವಾಗಲಿ ಹಿರಿಯರಿಗೆ",2025-06-16T11:22:36.000Z,https://www.facebook.com/SSMDVG/posts/pfbid0a6CErknYaFRRyU1N2n2fMTVmB5VTpuJGrgJNt8PAUMpXYNSbWrVGmzzk59way3hDl?comment_id=24486861877583398,Nanjappa Rudrappa,2,"ದಾವಣಗೆರೆಯ ಬಾಪೂಜಿ ಬ್ಯಾಂಕ್ ಸಮುದಾಯಭವನದಲ್ಲಿ ಅಪ್ಪಾಜಿಯವರ ಜನ್ಮದಿನದ ಪ್ರಯುಕ್ತ ಎಸ್ ಎಸ್ ಎಂ ಅಭಿಮಾನಿಗಳ ಬಳಗದಿಂದ ಆಯೋಜಿಸಿದ್ದ ಸರ್ವಧರ್ಮ ಸಾಮೂಹಿಕ ವಿವಾಹ ಮಹೋತ್ಸವದಲ್ಲಿ ಭಾಗವಹಿಸಿ ನವಜೋಡಿಗೆ ಶುಭಹಾರೈಸಲಾಯಿತು. ಈ ಸಂದರ್ಭದಲ್ಲಿ ಸನ್ಮಾನ್ಯ ಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀಯುತ ಸಿದ್ದರಾಮಯ್ಯ ಅವರು‌ ಅಪ್ಪಾಜಿಯವರನ್ನು ಪುಷ್ಪವೃಷ್ಠಿ ಮೂಲಕ ಶುಭಕೋರಿದ್ದು ವಿಶೇಷವಾಗಿತ್ತು.ಉಪಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀ ಡಿ.ಕೆ ಶಿವಕುಮಾರ್, ಗೃಹಸಚಿವರಾದ ಶ್ರೀ ಜಿ.ಪರಮೇಶ್ವರ್,ಮಾಜಿ ಸಚಿವರಾದ ಹೆಚ್.ಆಂಜನೇಯ, ಶಾಸಕರುಗಳಾದ ಕೆ
ಎಸ್ ಬಸವಂತಪ್ಪ,ಬಿ.ದೇವೇಂದ್ರಪ್ಪ ಸೇರಿದಂತೆ ಪಕ್ಷದ ಮುಖಂಡರುಗಳು,ಕಾರ್ಯಕರ್ತರು ಹಾಗೂ ಅಭಿಮಾನಿಗಳು ಉಪಸ್ಥಿತರಿದ್ದರು.",https://www.facebook.com/SSMDVG/posts/pfbid0a6CErknYaFRRyU1N2n2fMTVmB5VTpuJGrgJNt8PAUMpXYNSbWrVGmzzk59way3hDl
Very very good gesture by CM  down to earth,2025-06-20T04:00:09.000Z,https://www.facebook.com/SSMDVG/posts/pfbid0a6CErknYaFRRyU1N2n2fMTVmB5VTpuJGrgJNt8PAUMpXYNSbWrVGmzzk59way3hDl?comment_id=753639017237579,Manohar Rao Bambore,0,"ದಾವಣಗೆರೆಯ ಬಾಪೂಜಿ ಬ್ಯಾಂಕ್ ಸಮುದಾಯಭವನದಲ್ಲಿ ಅಪ್ಪಾಜಿಯವರ ಜನ್ಮದಿನದ ಪ್ರಯುಕ್ತ ಎಸ್ ಎಸ್ ಎಂ ಅಭಿಮಾನಿಗಳ ಬಳಗದಿಂದ ಆಯೋಜಿಸಿದ್ದ ಸರ್ವಧರ್ಮ ಸಾಮೂಹಿಕ ವಿವಾಹ ಮಹೋತ್ಸವದಲ್ಲಿ ಭಾಗವಹಿಸಿ ನವಜೋಡಿಗೆ ಶುಭಹಾರೈಸಲಾಯಿತು. ಈ ಸಂದರ್ಭದಲ್ಲಿ ಸನ್ಮಾನ್ಯ ಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀಯುತ ಸಿದ್ದರಾಮಯ್ಯ ಅವರು‌ ಅಪ್ಪಾಜಿಯವರನ್ನು ಪುಷ್ಪವೃಷ್ಠಿ ಮೂಲಕ ಶುಭಕೋರಿದ್ದು ವಿಶೇಷವಾಗಿತ್ತು.ಉಪಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀ ಡಿ.ಕೆ ಶಿವಕುಮಾರ್, ಗೃಹಸಚಿವರಾದ ಶ್ರೀ ಜಿ.ಪರಮೇಶ್ವರ್,ಮಾಜಿ ಸಚಿವರಾದ ಹೆಚ್.ಆಂಜನೇಯ, ಶಾಸಕರುಗಳಾದ ಕೆ
ಎಸ್ ಬಸವಂತಪ್ಪ,ಬಿ.ದೇವೇಂದ್ರಪ್ಪ ಸೇರಿದಂತೆ ಪಕ್ಷದ ಮುಖಂಡರುಗಳು,ಕಾರ್ಯಕರ್ತರು ಹಾಗೂ ಅಭಿಮಾನಿಗಳು ಉಪಸ್ಥಿತರಿದ್ದರು.",https://www.facebook.com/SSMDVG/posts/pfbid0a6CErknYaFRRyU1N2n2fMTVmB5VTpuJGrgJNt8PAUMpXYNSbWrVGmzzk59way3hDl
Happy Birthday Legend 🎂❤🎉,2025-06-17T07:08:32.000Z,https://www.facebook.com/SSMDVG/posts/pfbid0a6CErknYaFRRyU1N2n2fMTVmB5VTpuJGrgJNt8PAUMpXYNSbWrVGmzzk59way3hDl?comment_id=773068625043377,Manjunath Watar,0,"ದಾವಣಗೆರೆಯ ಬಾಪೂಜಿ ಬ್ಯಾಂಕ್ ಸಮುದಾಯಭವನದಲ್ಲಿ ಅಪ್ಪಾಜಿಯವರ ಜನ್ಮದಿನದ ಪ್ರಯುಕ್ತ ಎಸ್ ಎಸ್ ಎಂ ಅಭಿಮಾನಿಗಳ ಬಳಗದಿಂದ ಆಯೋಜಿಸಿದ್ದ ಸರ್ವಧರ್ಮ ಸಾಮೂಹಿಕ ವಿವಾಹ ಮಹೋತ್ಸವದಲ್ಲಿ ಭಾಗವಹಿಸಿ ನವಜೋಡಿಗೆ ಶುಭಹಾರೈಸಲಾಯಿತು. ಈ ಸಂದರ್ಭದಲ್ಲಿ ಸನ್ಮಾನ್ಯ ಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀಯುತ ಸಿದ್ದರಾಮಯ್ಯ ಅವರು‌ ಅಪ್ಪಾಜಿಯವರನ್ನು ಪುಷ್ಪವೃಷ್ಠಿ ಮೂಲಕ ಶುಭಕೋರಿದ್ದು ವಿಶೇಷವಾಗಿತ್ತು.ಉಪಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀ ಡಿ.ಕೆ ಶಿವಕುಮಾರ್, ಗೃಹಸಚಿವರಾದ ಶ್ರೀ ಜಿ.ಪರಮೇಶ್ವರ್,ಮಾಜಿ ಸಚಿವರಾದ ಹೆಚ್.ಆಂಜನೇಯ, ಶಾಸಕರುಗಳಾದ ಕೆ
ಎಸ್ ಬಸವಂತಪ್ಪ,ಬಿ.ದೇವೇಂದ್ರಪ್ಪ ಸೇರಿದಂತೆ ಪಕ್ಷದ ಮುಖಂಡರುಗಳು,ಕಾರ್ಯಕರ್ತರು ಹಾಗೂ ಅಭಿಮಾನಿಗಳು ಉಪಸ್ಥಿತರಿದ್ದರು.",https://www.facebook.com/SSMDVG/posts/pfbid0a6CErknYaFRRyU1N2n2fMTVmB5VTpuJGrgJNt8PAUMpXYNSbWrVGmzzk59way3hDl
Happy birthday🎂,2025-06-16T21:13:42.000Z,https://www.facebook.com/SSMDVG/posts/pfbid0a6CErknYaFRRyU1N2n2fMTVmB5VTpuJGrgJNt8PAUMpXYNSbWrVGmzzk59way3hDl?comment_id=1968914313642914,S W Ahemad Aleem,0,"ದಾವಣಗೆರೆಯ ಬಾಪೂಜಿ ಬ್ಯಾಂಕ್ ಸಮುದಾಯಭವನದಲ್ಲಿ ಅಪ್ಪಾಜಿಯವರ ಜನ್ಮದಿನದ ಪ್ರಯುಕ್ತ ಎಸ್ ಎಸ್ ಎಂ ಅಭಿಮಾನಿಗಳ ಬಳಗದಿಂದ ಆಯೋಜಿಸಿದ್ದ ಸರ್ವಧರ್ಮ ಸಾಮೂಹಿಕ ವಿವಾಹ ಮಹೋತ್ಸವದಲ್ಲಿ ಭಾಗವಹಿಸಿ ನವಜೋಡಿಗೆ ಶುಭಹಾರೈಸಲಾಯಿತು. ಈ ಸಂದರ್ಭದಲ್ಲಿ ಸನ್ಮಾನ್ಯ ಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀಯುತ ಸಿದ್ದರಾಮಯ್ಯ ಅವರು‌ ಅಪ್ಪಾಜಿಯವರನ್ನು ಪುಷ್ಪವೃಷ್ಠಿ ಮೂಲಕ ಶುಭಕೋರಿದ್ದು ವಿಶೇಷವಾಗಿತ್ತು.ಉಪಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀ ಡಿ.ಕೆ ಶಿವಕುಮಾರ್, ಗೃಹಸಚಿವರಾದ ಶ್ರೀ ಜಿ.ಪರಮೇಶ್ವರ್,ಮಾಜಿ ಸಚಿವರಾದ ಹೆಚ್.ಆಂಜನೇಯ, ಶಾಸಕರುಗಳಾದ ಕೆ
ಎಸ್ ಬಸವಂತಪ್ಪ,ಬಿ.ದೇವೇಂದ್ರಪ್ಪ ಸೇರಿದಂತೆ ಪಕ್ಷದ ಮುಖಂಡರುಗಳು,ಕಾರ್ಯಕರ್ತರು ಹಾಗೂ ಅಭಿಮಾನಿಗಳು ಉಪಸ್ಥಿತರಿದ್ದರು.",https://www.facebook.com/SSMDVG/posts/pfbid0a6CErknYaFRRyU1N2n2fMTVmB5VTpuJGrgJNt8PAUMpXYNSbWrVGmzzk59way3hDl
Happy birthday 🎂🎂 Sir,2025-06-17T12:01:02.000Z,https://www.facebook.com/SSMDVG/posts/pfbid0a6CErknYaFRRyU1N2n2fMTVmB5VTpuJGrgJNt8PAUMpXYNSbWrVGmzzk59way3hDl?comment_id=679743978218640,Verupaksha Gouda,0,"ದಾವಣಗೆರೆಯ ಬಾಪೂಜಿ ಬ್ಯಾಂಕ್ ಸಮುದಾಯಭವನದಲ್ಲಿ ಅಪ್ಪಾಜಿಯವರ ಜನ್ಮದಿನದ ಪ್ರಯುಕ್ತ ಎಸ್ ಎಸ್ ಎಂ ಅಭಿಮಾನಿಗಳ ಬಳಗದಿಂದ ಆಯೋಜಿಸಿದ್ದ ಸರ್ವಧರ್ಮ ಸಾಮೂಹಿಕ ವಿವಾಹ ಮಹೋತ್ಸವದಲ್ಲಿ ಭಾಗವಹಿಸಿ ನವಜೋಡಿಗೆ ಶುಭಹಾರೈಸಲಾಯಿತು. ಈ ಸಂದರ್ಭದಲ್ಲಿ ಸನ್ಮಾನ್ಯ ಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀಯುತ ಸಿದ್ದರಾಮಯ್ಯ ಅವರು‌ ಅಪ್ಪಾಜಿಯವರನ್ನು ಪುಷ್ಪವೃಷ್ಠಿ ಮೂಲಕ ಶುಭಕೋರಿದ್ದು ವಿಶೇಷವಾಗಿತ್ತು.ಉಪಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀ ಡಿ.ಕೆ ಶಿವಕುಮಾರ್, ಗೃಹಸಚಿವರಾದ ಶ್ರೀ ಜಿ.ಪರಮೇಶ್ವರ್,ಮಾಜಿ ಸಚಿವರಾದ ಹೆಚ್.ಆಂಜನೇಯ, ಶಾಸಕರುಗಳಾದ ಕೆ
ಎಸ್ ಬಸವಂತಪ್ಪ,ಬಿ.ದೇವೇಂದ್ರಪ್ಪ ಸೇರಿದಂತೆ ಪಕ್ಷದ ಮುಖಂಡರುಗಳು,ಕಾರ್ಯಕರ್ತರು ಹಾಗೂ ಅಭಿಮಾನಿಗಳು ಉಪಸ್ಥಿತರಿದ್ದರು.",https://www.facebook.com/SSMDVG/posts/pfbid0a6CErknYaFRRyU1N2n2fMTVmB5VTpuJGrgJNt8PAUMpXYNSbWrVGmzzk59way3hDl
Wishing Happy Birthday,2025-06-16T17:20:42.000Z,https://www.facebook.com/SSMDVG/posts/pfbid0a6CErknYaFRRyU1N2n2fMTVmB5VTpuJGrgJNt8PAUMpXYNSbWrVGmzzk59way3hDl?comment_id=1055513919484562,Altaf Baig Baig,0,"ದಾವಣಗೆರೆಯ ಬಾಪೂಜಿ ಬ್ಯಾಂಕ್ ಸಮುದಾಯಭವನದಲ್ಲಿ ಅಪ್ಪಾಜಿಯವರ ಜನ್ಮದಿನದ ಪ್ರಯುಕ್ತ ಎಸ್ ಎಸ್ ಎಂ ಅಭಿಮಾನಿಗಳ ಬಳಗದಿಂದ ಆಯೋಜಿಸಿದ್ದ ಸರ್ವಧರ್ಮ ಸಾಮೂಹಿಕ ವಿವಾಹ ಮಹೋತ್ಸವದಲ್ಲಿ ಭಾಗವಹಿಸಿ ನವಜೋಡಿಗೆ ಶುಭಹಾರೈಸಲಾಯಿತು. ಈ ಸಂದರ್ಭದಲ್ಲಿ ಸನ್ಮಾನ್ಯ ಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀಯುತ ಸಿದ್ದರಾಮಯ್ಯ ಅವರು‌ ಅಪ್ಪಾಜಿಯವರನ್ನು ಪುಷ್ಪವೃಷ್ಠಿ ಮೂಲಕ ಶುಭಕೋರಿದ್ದು ವಿಶೇಷವಾಗಿತ್ತು.ಉಪಮುಖ್ಯಮಂತ್ರಿಗಳಾದ ಶ್ರೀ ಡಿ.ಕೆ ಶಿವಕುಮಾರ್, ಗೃಹಸಚಿವರಾದ ಶ್ರೀ ಜಿ.ಪರಮೇಶ್ವರ್,ಮಾಜಿ ಸಚಿವರಾದ ಹೆಚ್.ಆಂಜನೇಯ, ಶಾಸಕರುಗಳಾದ ಕೆ
ಎಸ್ ಬಸವಂತಪ್ಪ,ಬಿ.ದೇವೇಂದ್ರಪ್ಪ ಸೇರಿದಂತೆ ಪಕ್ಷದ ಮುಖಂಡರುಗಳು,ಕಾರ್ಯಕರ್ತರು ಹಾಗೂ ಅಭಿಮಾನಿಗಳು ಉಪಸ್ಥಿತರಿದ್ದರು.",https://www.facebook.com/SSMDVG/posts/pfbid0a6CErknYaFRRyU1N2n2fMTVmB5VTpuJGrgJNt8PAUMpXYNSbWrVGmzzk59way3hDl
